id_,gender,title,url,category,price,description,description_long,n_reviews,score,size,comfort,durability,r_title,r_raiting,r_body,r_date
505,woman,Nike Zoom HyperAce 2,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-104,Women's Volleyball Shoe,115,"Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ","COMMAND THE HARD COURTDesigned for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  BenefitsTextile and synthetic construction for breathable comfortHeel cage enhances support and stabilityFoam midsole with Nike Zoom Air cushioning for lightweight responsivenessDurable rubber tread delivers excellent tractionShown: White/Game RoyalStyle: AA0286-104",164,4.6,30,82,54,Daughter loves these!,5,"I bought these for my high school daughter who is an avid volleyball player, and she loves them. They fit true to size, are comfortable out of the box, and function great on the court.",10-02-2021 00:00
505,woman,Nike Zoom HyperAce 2,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-104,Women's Volleyball Shoe,115,"Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ","COMMAND THE HARD COURTDesigned for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  BenefitsTextile and synthetic construction for breathable comfortHeel cage enhances support and stabilityFoam midsole with Nike Zoom Air cushioning for lightweight responsivenessDurable rubber tread delivers excellent tractionShown: White/Game RoyalStyle: AA0286-104",164,4.6,30,82,54,Volleyball shoes,5,These have been the best volleyball shoes.. We have purchased our 2nd pair and highly recommend.,05-02-2021 00:00
505,woman,Nike Zoom HyperAce 2,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-104,Women's Volleyball Shoe,115,"Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ","COMMAND THE HARD COURTDesigned for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  BenefitsTextile and synthetic construction for breathable comfortHeel cage enhances support and stabilityFoam midsole with Nike Zoom Air cushioning for lightweight responsivenessDurable rubber tread delivers excellent tractionShown: White/Game RoyalStyle: AA0286-104",164,4.6,30,82,54,Volleyball shoe of choice,5,Excellent volleyball shoe. Very comfortable and satisfied.,26-01-2021 00:00
505,woman,Nike Zoom HyperAce 2,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-104,Women's Volleyball Shoe,115,"Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ","COMMAND THE HARD COURTDesigned for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  BenefitsTextile and synthetic construction for breathable comfortHeel cage enhances support and stabilityFoam midsole with Nike Zoom Air cushioning for lightweight responsivenessDurable rubber tread delivers excellent tractionShown: White/Game RoyalStyle: AA0286-104",164,4.6,30,82,54,Great volleyball shoes!,5,"Very comfortable, doesn’t slid on the court. This is the second pair. Holds up very well!! Will definitely buy again, and recommend to all volleyball players.",24-01-2021 00:00
505,woman,Nike Zoom HyperAce 2,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-104,Women's Volleyball Shoe,115,"Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ","COMMAND THE HARD COURTDesigned for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  BenefitsTextile and synthetic construction for breathable comfortHeel cage enhances support and stabilityFoam midsole with Nike Zoom Air cushioning for lightweight responsivenessDurable rubber tread delivers excellent tractionShown: White/Game RoyalStyle: AA0286-104",164,4.6,30,82,54,Our second pair. That’s how much my daughter loves them!,5,"Bought these for my daughter who played on the JV team this school year. She wore a them all summer long for conditioning, which was daily and then again everyday once she made the team for practice and for her games. They held up very well. Since, we have bought an a Read More",20-01-2021 00:00
505,woman,Nike Zoom HyperAce 2,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-104,Women's Volleyball Shoe,115,"Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ","COMMAND THE HARD COURTDesigned for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  BenefitsTextile and synthetic construction for breathable comfortHeel cage enhances support and stabilityFoam midsole with Nike Zoom Air cushioning for lightweight responsivenessDurable rubber tread delivers excellent tractionShown: White/Game RoyalStyle: AA0286-104",164,4.6,30,82,54,Great shoe,5,"Great product. This is my fourth time buying this shoe for my volleyball playing daughter. She plays year round and a pair will generally last her the year, through three seasons. It’s her favorite shoe and each time it’s time for something new, she goes back to this one",11-01-2021 00:00
505,woman,Nike Zoom HyperAce 2,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-104,Women's Volleyball Shoe,115,"Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ","COMMAND THE HARD COURTDesigned for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  BenefitsTextile and synthetic construction for breathable comfortHeel cage enhances support and stabilityFoam midsole with Nike Zoom Air cushioning for lightweight responsivenessDurable rubber tread delivers excellent tractionShown: White/Game RoyalStyle: AA0286-104",164,4.6,30,82,54,Awesome!,5,Exactly what I was needing. Prompt curbside pickup was efficent!,13-12-2020 00:00
505,woman,Nike Zoom HyperAce 2,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-104,Women's Volleyball Shoe,115,"Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ","COMMAND THE HARD COURTDesigned for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  BenefitsTextile and synthetic construction for breathable comfortHeel cage enhances support and stabilityFoam midsole with Nike Zoom Air cushioning for lightweight responsivenessDurable rubber tread delivers excellent tractionShown: White/Game RoyalStyle: AA0286-104",164,4.6,30,82,54,Thoroughly Enjoyed,4,"I got these shoes about a year and a half ago, and have purchased two pairs during the time. I love these shoes! They are comfy and fit just right. They do crease at the bottom after many uses. They are very durable and I 10/10 would recommend.",28-11-2020 00:00
505,woman,Nike Zoom HyperAce 2,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-104,Women's Volleyball Shoe,115,"Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ","COMMAND THE HARD COURTDesigned for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  BenefitsTextile and synthetic construction for breathable comfortHeel cage enhances support and stabilityFoam midsole with Nike Zoom Air cushioning for lightweight responsivenessDurable rubber tread delivers excellent tractionShown: White/Game RoyalStyle: AA0286-104",164,4.6,30,82,54,Good solid shoe,5,Good solid shoe. Being a volleyball player I love court shoes and use them for my gym workouts. They make my foot like wide but fit nicely.,15-11-2020 00:00
505,woman,Nike Zoom HyperAce 2,https://www.nike.com/t/zoom-hyperace-2-womens-volleyball-shoe-KlrjdK/AA0286-104,Women's Volleyball Shoe,115,"Designed for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  ","COMMAND THE HARD COURTDesigned for action on hard courts, the Nike Zoom HyperAce 2 Women's Volleyball Shoe helps keep you light and fast on your feet with a breathable upper and responsive cushioning.  BenefitsTextile and synthetic construction for breathable comfortHeel cage enhances support and stabilityFoam midsole with Nike Zoom Air cushioning for lightweight responsivenessDurable rubber tread delivers excellent tractionShown: White/Game RoyalStyle: AA0286-104",164,4.6,30,82,54,Love them!,5,"Bought for my daughter, she loves them! comfy, stylish and colors are great!",24-10-2020 00:00
